# protein_targetability_matrix.csv
# HYPOTHESIS-GENERATING TRIAGE LAYER — SEPARATE FROM AND NOT VALIDATING THE ISCI/T-REMAP CORE.
# This is NOT a therapeutic target recommendation. It annotates the locked candidate list with
# orthogonal protein/druggability metadata to prioritize follow-up EXPERIMENTS (probes, arrays,
# CRISPRi/a titration), not clinical intervention. All directional/class calls are computational
# hypotheses requiring wet-lab validation.
# Sources: MyGene (ID map), UniProt (families/keywords/localization), Human Protein Atlas 25.1
#   (protein class, subcellular, blood/immune expression), ChEMBL (target existence + approved/
#   clinical mechanism-of-action drugs). Open Targets tractability was UNAVAILABLE this run
#   (upstream global rate limit sustained >10 min); druggability_tier is ChEMBL+HPA-derived.
# localization: derived from HPA experimental main subcellular location (primary); 'secreted' is
#   tagged ONLY on explicit extracellular/blood secretion, NOT on minor isoform/context notes.
# translation_triage_score = 0.45*ISCI_orth(norm; reversers=0.55 prior) + 0.25*druggability_tier
#   + 0.20*sm_ligandability + 0.15*robust_reverser  MINUS penalties
#   (TCR/signaling-proximal 0.20, broadly-essential 0.15, tumor-suppressor-KD-oncogenic 0.30);
#   rescaled 0-1. Higher = stronger experimental-follow-up priority, NOT stronger drug target.
# intervention_direction & class are safety-gated computational hypotheses (see project docs).
gene,ISCI_orthogonal,ISCI_primary_rank,family,known_regulator,robust_reverser,protein_class,localization,hpa_main_loc,immune_expr,immune_detail,tcell_enriched,druggability_tier,n_chembl_drugs,chembl_moa,chembl_action,sm_ligandability,penalty_flags,intervention_direction,class,translation_triage_score
IKBKB,0.9488095238095238,2.0,NF-kB/TCR,False,False,kinase,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,clinical_drug,7,Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor,INHIBITOR,high,TCR/signaling-proximal,transient_inhibition,engineering_candidate,1.0
CXXC1,,,reverser,False,True,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.946
KDM1A,0.8718253968253968,21.0,chromatin/tx,False,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,clinical_drug,1,Lysine-specific histone demethylase 1 inhibitor,INHIBITOR,high,none,transient_inhibition,manufacturing_modulation,0.9
PPP1R15B,,,reverser,False,True,scaffold/adapter,intracellular,Golgi apparatus,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,reverser_only,0.845
PDCD10,,,reverser,False,True,scaffold/adapter,intracellular,cytoplasm {eco:0000305|pubmed:18782753},broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,reverser_only,0.845
PRKDC,0.9023809523809524,10.0,apoptosis/survival,False,False,kinase,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,clinical_drug,1,DNA-dependent protein kinase inhibitor,INHIBITOR,high,broadly-essential,transient_inhibition,engineering_candidate,0.838
TADA1,,,reverser,False,True,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,medium,none,titratable,manufacturing_modulation,0.82
MAP3K5,0.8498015873015873,29.0,apoptosis/survival,False,False,kinase,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in many,False,clinical_drug,1,Mitogen-activated protein kinase kinase kinase 5 inhibitor,INHIBITOR,high,none,transient_inhibition,engineering_candidate,0.789
BCLAF1,0.9240079365079366,3.0,RNA/post-tx,False,False,RNA-binding,intracellular,Nuclear speckles,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,probe_only,0.785
SETDB1,0.8994047619047619,11.0,chromatin/tx,True,False,chromatin,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,transient_inhibition,manufacturing_modulation,0.761
PDCD5,0.9132936507936508,6.0,apoptosis/survival,False,False,scaffold/adapter,intracellular,Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,low,none,titratable,probe_only,0.73
CDC25B,,,reverser,False,True,phosphatase,intracellular,Vesicles,broad,blood:Low immune cell specificity/Detected in many,False,chembl_target,0,,,medium,broadly-essential,transient_inhibition,engineering_candidate,0.729
HEXIM1,0.8928571428571429,13.0,chromatin/tx,False,False,other(P-TEFb),intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in all,False,chembl_target,0,,,medium,none,titratable,probe_only,0.728
POGK,,,reverser,False,True,TF,intracellular,Nucleoplasm,broad,blood:Low immune cell specificity/Detected in many,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
IFI27L1,,,reverser,False,True,other,intracellular,membrane {eco:0000255}; multi-pass membrane protein {eco:000,broad,blood:Immune cell enhanced/Detected in many,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
TNRC6A,,,reverser,False,True,RNA-binding,intracellular,Nucleoplasm; Golgi apparatus; Vesicles,restricted,blood:Low immune cell specificity/Detected in some,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
RBSN,,,reverser,False,True,scaffold/adapter,intracellular,Vesicles,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
COMMD8,,,reverser,False,True,scaffold/adapter,intracellular,Nucleoplasm; Cytosol,broad,blood:Low immune cell specificity/Detected in all,False,no_chembl_target,0,,,low,none,titratable,reverser_only,0.719
